"filename", "language", "HTML", "CSS", "comment", "blank", "total"
"/Users/henrikbakke/Documents/GitHub/first-repo/action.html", "HTML", 87, 0, 0, 2, 89
"/Users/henrikbakke/Documents/GitHub/first-repo/all_movies.html", "HTML", 66, 0, 0, -1, 65
"/Users/henrikbakke/Documents/GitHub/first-repo/cart.html", "HTML", 75, 0, 0, 2, 77
"/Users/henrikbakke/Documents/GitHub/first-repo/categories.html", "HTML", 7, 0, 0, 0, 7
"/Users/henrikbakke/Documents/GitHub/first-repo/comedy.html", "HTML", 88, 0, 0, 2, 90
"/Users/henrikbakke/Documents/GitHub/first-repo/contact.html", "HTML", 1, 0, 0, 0, 1
"/Users/henrikbakke/Documents/GitHub/first-repo/css/style.css", "CSS", 0, 318, 4, 73, 395
"/Users/henrikbakke/Documents/GitHub/first-repo/horror.html", "HTML", 87, 0, 0, 2, 89
"/Users/henrikbakke/Documents/GitHub/first-repo/kids.html", "HTML", 87, 0, 0, 2, 89
"/Users/henrikbakke/Documents/GitHub/first-repo/payment.html", "HTML", 98, 0, 0, 0, 98
"/Users/henrikbakke/Documents/GitHub/first-repo/sale.html", "HTML", 1, 0, 0, 0, 1
"/Users/henrikbakke/Documents/GitHub/first-repo/success.html", "HTML", 85, 0, 0, 2, 87
"Total", "-", 682, 318, 4, 84, 1088